date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:07	80186/80186	---M--	200	added ('OK')	application/octet-stream	etag:%22f740944d9497ee2e6e9530f498eb4805%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-MediumItalic.eot	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-MediumItalic.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:22:08	80186/80186	---M--	200	added ('OK')	application/octet-stream	etag:%22f740944d9497ee2e6e9530f498eb4805%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-MediumItalic.eot?	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-MediumItalicd41d.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:22:09	79948/79948	---M--	200	added ('OK')	application/octet-stream	etag:%22772dbf088e22054f8c1ef5b2d7d39854%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-MediumItalic.ttf	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-MediumItalic.ttf	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:22:13	36248/36248	---M--	200	added ('OK')	application/octet-stream	etag:%2285a12ad7322088a83a1a8b5227f44438%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-Italic.woff	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-Italic.woff	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:22:14	80982/80982	---M--	200	added ('OK')	application/octet-stream	etag:%222347dea4058c8e11991c0d721cbd5422%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-Italic.eot	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-Italic.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:22:20	34660/34660	---M--	200	added ('OK')	application/octet-stream	etag:%2227d9ad38ae8328f50835c82c1741aa48%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-BoldItalic.woff	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-BoldItalic.woff	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:22:21	80982/80982	---M--	200	added ('OK')	application/octet-stream	etag:%222347dea4058c8e11991c0d721cbd5422%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-Italic.eot?	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-Italicd41d.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:22:22	80780/80780	---M--	200	added ('OK')	application/octet-stream	etag:%22bb85bbaba2e0aa32fb3d24e1983564d4%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-Italic.ttf	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-Italic.ttf	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:22:25	75222/75222	---M--	200	added ('OK')	application/octet-stream	etag:%22873cc33915e312ad92116cb18e336bbc%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-BoldItalic.eot	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-BoldItalic.eot	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
15:22:31	37764/37764	---M--	200	added ('OK')	application/octet-stream	etag:%22eb71e27dd16144f9d0e162bd10c07848%22	http://d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-Bold.woff	C:/My%20Web%20Sites/angular-master-class/d2oz8i5n9se8ej.cloudfront.net/fonts/teachable-sans/TeachableSans-Bold.woff	(from http://d2oz8i5n9se8ej.cloudfront.net/school-css-1507331834-146684-3393d9697e1bd3e8252777b5a8272fea.css)
